LORETO;LORETO;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;1;0;0;1;1;1;1;0;1;0;1;3;123;1;1;14;0;1;73;0;1;62;0;2;101;1;2;138;1;1;95;0;3;61;0;3;194;1;2;95;0;1;161;1;3;47;0;1;61;0;High;Very Low;Low;Low;Low;Very High;Low;Low
ANCASH;SANTA;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1;1;0;1;1;1;0;1;1;1;0;0;0;1;1;0;1;1;1;31;0;3;163;1;1;52;0;1;26;0;2;103;1;2;103;1;2;183;1;4;162;1;2;71;0;3;181;1;1;145;1;3;104;1;1;61;0;Very Low;Very High;Low;Very Low;Very High;High;Moderate;Low
TUMBES;ZARUMILLA;0;0;0;0;0;1;0;1;0;0;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;35;0;2;42;0;0;15;0;2;180;1;2;130;1;2;98;0;1;157;1;5;182;1;3;182;1;2;71;0;1;147;1;3;112;1;1;62;0;Very Low;Low;Very Low;Very High;Very High;High;Moderate;Low
ANCASH;HUARAZ;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;1;0;1;1;1;0;1;1;1;0;0;0;1;1;0;1;1;1;48;0;2;101;1;1;123;1;0;2;0;1;81;0;2;130;1;1;150;1;5;165;1;1;38;0;3;185;1;1;124;1;3;94;0;1;63;0;Low;Moderate;High;Very Low;Very High;High;Moderate;Low
SAN MARTIN;BELLAVISTA;0;0;0;1;0;1;0;0;0;0;1;1;1;1;1;1;1;0;1;0;1;0;1;0;0;1;1;1;0;0;1;1;0;2;81;0;1;3;0;0;31;0;2;159;1;2;142;1;2;105;1;1;96;0;3;102;1;3;147;1;2;73;0;1;120;1;3;52;0;1;65;0;Moderate;Very Low;Very Low;Very High;Moderate;High;Low;Low
CAJAMARCA;SAN IGNACIO;1;1;0;1;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;1;1;3;140;1;1;23;0;0;27;0;1;84;0;2;160;1;0;11;0;0;38;0;3;55;0;3;184;1;3;158;1;2;187;1;3;62;0;1;65;0;High;Very Low;Very Low;Moderate;Low;Very High;Low;Low
AREQUIPA;ISLAY;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;0;0;0;16;0;3;167;1;1;86;0;1;6;0;2;125;1;3;190;1;1;134;1;4;157;1;2;82;0;2;60;0;1;56;0;2;44;0;1;66;0;Very Low;Very High;Moderate;Very Low;High;Low;Low;Low
MOQUEGUA;MARISCAL NIETO;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;1;1;1;0;6;0;2;113;1;1;107;1;1;57;0;2;108;1;2;116;1;1;146;1;4;153;1;0;1;0;2;104;1;1;33;0;2;36;0;1;67;0;Very Low;Moderate;Moderate;Low;High;Very Low;Very Low;Low
MADRE DE DIOS;MANU;0;0;0;0;0;1;0;0;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;0;0;1;1;0;0;1;0;1;0;0;12;0;1;10;0;1;133;1;2;132;1;2;95;0;2;156;1;1;136;1;4;116;1;2;105;1;2;86;0;1;97;0;3;53;0;1;68;0;Very Low;Very Low;High;High;Moderate;Moderate;Low;Low
JUNIN;SATIPO;1;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0;1;1;0;1;0;0;1;1;1;2;84;0;1;12;0;1;120;1;1;72;0;1;22;0;2;113;1;1;113;1;3;38;0;2;105;1;2;136;1;1;135;1;2;34;0;1;69;0;Moderate;Very Low;High;Low;Very Low;High;Very Low;Low
