departamento;provincia;ubigeo;pob2017;pob2020;pobreza;desempleo_n;ingreso_porc;nosec25;nosec25_porc;p65amas;p65amas_porc;p17amenos;p17amenos_porc;pmayorde5disc;pmayorde5disc_porc;hogarmonop;pobind;esp2dalengua;esp2dalengua_porc;vivprecaria;hacinam;carret_asfalt;adultos_hta_freq;adultos_hyperchol_freq;adultos_ecv_freq;adultos_asma_freq;adultos_epoc_freq;tabaco;cancer_c;cancer_d;vih;obes_imc30_freq;adultos_diabetes_freq;densidadpob;mortalidad_iras;mortalidad_irasx100000;n_camas_hospitalarias;n_camas_uci;n_medicos;n_ventiladores;gastoregsalud_porc;gastoxcapitasalud;labcovid;n_emergencia;desempleo_porc;hogarmonop_porc;hacinam_porc;hta_porc;coles_porc;ecv_porc;asma_porc;epoc_porc;obesidad_porc;diabetes_porc;cancer_n;cancer_porc;camas_hospix100mil;camas_ucix100mil;medicosx100mil;ventiladoresx100mil;labcovidx100mil;emergenciax100mil
ANCASH;BOLOGNESI;205;23797;24012;121;15019;683;6669;0;4113;0;7796;0;2754;0;4621;0;6059;0;1;3061;0;71;525;7;32;244;16;13;72;257;1903;44;8;1;4;34;0;17;0;0;45;0;2;1;0;0;0;0;0;0;0;0;0;85;0;143;0;71;11;0;8
ANCASH;CARHUAZ;206;45184;50007;109;30566;495;17164;0;6811;0;15191;0;4935;0;6959;1;29912;1;1;6775;1;195;832;11;37;510;16;27;280;0;3798;119;56;39;86;51;0;35;0;0;45;0;2;1;0;0;0;0;0;0;0;0;0;307;0;113;0;77;11;0;4
ANCASH;CARLOS FERMIN FITZCARRALD;207;17717;18496;63;13694;331;6956;0;3460;0;7087;0;2030;0;2734;1;14630;1;1;2286;1;42;215;7;37;67;16;8;25;16;1019;10;28;5;28;16;0;8;0;0;45;0;3;1;0;0;0;0;0;0;0;0;0;33;0;90;0;45;11;0;17
ANCASH;CASMA;208;50989;57256;154;28123;966;11256;0;6314;0;17404;0;5120;0;11055;0;8003;0;1;7050;0;30;864;16;39;741;16;17;181;65;3571;63;23;3;6;69;0;27;0;0;45;0;1;1;0;0;0;0;0;0;0;0;0;198;0;135;0;53;11;0;2
ANCASH;CORONGO;209;7532;8017;60;5327;505;2774;0;1420;0;2527;0;758;0;936;0;909;0;1;879;0;132;66;1;24;240;16;4;9;0;444;23;8;0;0;14;0;4;0;0;45;0;0;1;0;0;0;0;0;0;0;0;0;13;0;186;0;53;11;0;0
ANCASH;HUARAZ;201;163936;185276;166;95143;903;32274;0;21501;0;53766;0;17343;0;33974;1;59861;0;0;21142;0;404;1679;185;454;818;16;417;1282;97;6952;476;66;35;21;309;16;184;6;0;45;0;1;1;0;0;0;0;0;0;0;0;0;1699;0;188;10;112;11;0;1
ANCASH;HUARI;210;58714;63264;108;40405;569;17776;0;8834;0;20941;0;6072;0;8844;1;40569;1;1;7773;0;365;1163;10;75;185;16;55;216;0;3951;121;19;4;7;85;0;41;0;0;45;0;3;1;0;0;0;0;0;0;0;0;0;271;0;145;0;70;11;0;5
ANCASH;HUARMEY;211;30560;33066;162;16723;957;5528;0;4064;0;9699;0;3313;0;6721;0;2356;0;0;4453;1;15;635;7;66;11;16;32;179;73;1406;7;8;5;16;18;1;23;0;0;45;0;1;1;0;0;0;0;0;0;0;0;0;211;0;59;3;75;11;0;3
ANCASH;HUAYLAS;212;51334;56557;80;33541;559;18729;0;7391;0;19514;0;4821;0;8888;1;26825;1;1;7302;1;220;1431;4;72;1226;16;19;251;76;2969;69;22;2;4;101;0;36;0;0;45;0;1;1;0;0;0;0;0;0;0;0;0;270;0;197;0;70;11;0;2
ANCASH;MARISCAL LUZURIAGA;213;20284;21787;18;16891;247;7475;0;3105;0;8635;0;2627;0;3078;1;17291;1;1;3104;0;103;254;0;61;131;16;4;38;0;1392;7;28;0;0;28;0;9;0;0;45;0;1;1;0;0;0;0;0;0;0;0;0;42;0;138;0;44;11;0;5
ANCASH;OCROS;214;7039;7224;125;3848;605;2215;0;1549;0;2095;0;903;0;1163;0;1275;0;1;1045;0;31;6;0;15;244;16;3;7;58;682;7;3;1;14;6;0;6;0;0;45;0;0;1;0;0;0;0;0;0;0;0;0;10;0;85;0;85;11;0;0
